YEAR,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,WEATHER_DELAY
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,10397,1039707,30397,ATL,0600,0555,0833,0803,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,11057,1105703,31057,CLT,1123,1114,1335,1330,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,11057,1105703,31057,CLT,1818,1815,2035,2007,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,11433,1143302,31295,DTW,0535,0530,0739,0657,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,11433,1143302,31295,DTW,1742,1816,1938,1957,0.00
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,13930,1393007,30977,ORD,0755,0748,0919,0905,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,13930,1393007,30977,ORD,1505,1500,1641,1603,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,13930,1393007,30977,ORD,1725,1723,1848,1902,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,14082,1408202,34082,PGD,1325,1322,1611,1611,
2020,1/1/2020 12:00:00 AM,10135,1013506,30135,ABE,14100,1410005,34100,PHL,1308,1301,1354,1336,
