FL_DATE,UNIQUE_CARRIER,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DISTANCE,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,AIR_TIME,DEP_HOUR,DEP_DATE
2020-11-18,HA,NK,2088,41550,MCO,67923,SEA,2155,0929,1865,63.0,63.0,1,86.0,86.0,1,0,0,,2,25,10,0,48,239.0,21,2020-11-18
2020-11-28,DL,AS,2686,75448,SEA,29045,DEN,0608,0839,2882,6.0,6.0,0,2.0,2.0,0,0,0,,0,0,0,0,0,368.0,6,2020-11-28
2020-11-07,UA,B6,6153,60963,DFW,62907,SEA,1720,0941,1631,1.0,1.0,0,11.0,11.0,0,0,0,,0,0,0,0,0,194.0,17,2020-11-07
2020-11-15,WN,DL,2594,77321,JFK,39509,LAS,0310,1330,2864,,,0,,,0,1,0,B,0,0,0,0,0,,3,2020-11-15
2020-11-29,HA,NK,8695,16003,SEA,80067,LAS,1135,2006,2092,2.0,2.0,0,-3.0,0.0,0,0,0,,0,0,0,0,0,271.0,11,2020-11-29
2020-11-12,AA,F9,1279,61172,SEA,61869,ORD,0414,2219,1304,43.0,43.0,1,41.0,41.0,1,0,0,,11,12,7,2,10,168.0,4,2020-11-12
2020-11-19,DL,AA,1821,61202,DFW,74038,JFK,0028,2211,2616,13.0,13.0,0,18.0,18.0,1,0,0,,3,0,4,0,10,321.0,0,2020-11-19
2020-11-30,DL,HA,5044,73405,SEA,53804,LAX,2015,1224,2685,33.0,33.0,1,29.0,29.0,1,0,0,,1,5,6,1,16,335.0,20,2020-11-30
2020-11-10,B6,DL,4651,81395,MCO,51333,LAS,0013,1224,2718,4.0,4.0,0,1.0,1.0,0,0,0,,0,0,0,0,0,362.0,0,2020-11-10
2020-11-15,HA,UA,6596,91797,LAX,74622,BOS,0932,0209,860,17.0,17.0,1,4.0,4.0,0,0,0,,0,0,0,0,0,111.0,9,2020-11-15
2020-11-12,AA,G4,1256,19409,ATL,20195,SEA,1559,1925,2623,25.0,25.0,1,42.0,42.0,1,0,0,,9,10,9,0,14,334.0,15,2020-11-12
2020-11-04,G4,AA,8914,25358,ATL,39781,SEA,2222,0539,2415,16.0,16.0,1,11.0,11.0,0,0,0,,0,0,0,0,0,307.0,22,2020-11-04
2020-11-23,B6,DL,1161,97509,SEA,77419,DFW,2054,0526,2656,25.0,25.0,1,16.0,16.0,1,0,0,,2,3,2,1,8,347.0,20,2020-11-23
2020-11-13,G4,AS,9722,87759,ORD,26018,DEN,1129,0352,1200,20.0,20.0,1,9.0,9.0,0,0,0,,0,0,0,0,0,136.0,11,2020-11-13
2020-11-30,NK,UA,1159,51573,MCO,50037,ATL,0729,2007,880,5.0,5.0,0,3.0,3.0,0,0,0,,0,0,0,0,0,103.0,7,2020-11-30
2020-11-27,AA,NK,5357,62133,MCO,38676,ATL,0213,2315,478,19.0,19.0,1,17.0,17.0,1,0,0,,7,4,0,1,5,66.0,2,2020-11-27
2020-11-20,HA,G4,1289,84605,SFO,41762,MIA,1348,0417,2099,24.0,24.0,1,28.0,28.0,1,0,0,,7,7,2,0,11,262.0,13,2020-11-20
2020-11-15,F9,G4,4677,92628,LAX,52814,LAS,1539,2316,2153,23.0,23.0,1,17.0,17.0,1,0,0,,1,2,5,0,9,276.0,15,2020-11-15
2020-11-19,B6,HA,8601,22649,DFW,79076,DEN,0131,0144,1021,2.0,2.0,0,-3.0,0.0,0,0,0,,0,0,0,0,0,125.0,1,2020-11-19
2020-11-22,AA,F9,616,33826,DFW,60626,LAX,0337,0323,1575,6.0,6.0,0,14.0,14.0,0,0,0,,0,0,0,0,0,195.0,3,2020-11-22
2020-11-07,AS,F9,8037,84109,SFO,81860,ATL,1942,1728,420,12.0,12.0,0,15.0,15.0,1,0,0,,4,3,2,0,5,69.0,19,2020-11-07
2020-11-27,WN,G4,4412,68848,SFO,74805,MIA,0445,0034,2022,0.0,0.0,0,-3.0,0.0,0,0,0,,0,0,0,0,0,259.0,4,2020-11-27
2020-11-28,F9,DL,497,46357,DFW,92755,SEA,1627,1259,1083,6.0,6.0,0,13.0,13.0,0,0,0,,0,0,0,0,0,154.0,16,2020-11-28
2020-11-26,NK,F9,631,41423,DFW,11043,ORD,0941,0812,2803,23.0,23.0,1,2.0,2.0,0,0,0,,0,0,0,0,0,346.0,9,2020-11-26
